idx,Arab,Gender,Age,Religion,Religiosity,pop_w,Area,FamilyStatus,Profession,Bornplace,Immigration1990,ImmigrationYear,FamilyNumber,Income,Education,VoteTend,Vote19,Vote19Other,VoteSure,c_Likud,c_Lavan,c_Avoda,c_NYamin,c_Meretz,c_UYamin,c_Liberman,c_Kahlon,c_Gesher,c_Gimel,c_Shas,c_Hadash,c_Balad,c_Zehut,c_Other,c_Other_txt,Friends,g_Likud,g_Lavan,g_Avoda,g_NYamin,g_Meretz,g_UYamin,g_Liberman,g_Kahlon,g_Gesher,g_Gimel,g_Shas,g_Hadash,g_Balad,g_Zehut,g_Other,g_Other_txt,VoteSecurity,VoteEconomic,VoteSocial,VoteClean,VoteDecent,VoteReligious,VoteTradition,Transp,Vote15,TwoStateCon,TwoStateFor,TwoStateAgainst,TwoStateComb
238,0,Man,20,Jewish,Secular,0.871188986,Haifa,Single,Student,Israel,,,4,SlightBelowAvg,Tertiary,1,Lavan,"",2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"",4,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,"",1,5,6,4,3,2,7,4,Couldnt,2,,4,4
239,0,Woman,54,Jewish,Religious,0.778403312,Sharon,Married,Full,Israel,,,6,LikeAvg,Tertiary,1,UYamin,"",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,"",1,2,3,6,4,5,7,4,Bait,1,4,,4
240,0,Man,34,Jewish,Traditional,1.062425593,Haifa,Married,Full,Israel,,,5,SlightAboveAvg,AcademicFirst,1,Likud,"",3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,"",2,1,3,7,5,4,6,3,Kahlon,2,,2,2
241,0,Man,26,Jewish,TradRelig,1.369131627,TelAviv,Married,Full,Israel,,,2,SlightBelowAvg,HighSchool,1,Likud,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,"",1,2,3,7,6,5,4,3,Likud,1,5,,5
242,0,Man,39,Jewish,Religious,0.778403312,Jerusalem,Married,Full,Israel,,,3,SlightAboveAvg,AcademicHigh,2,NYamin,"",2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"",2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,אין מפלגה נוספת,2,1,3,4,6,5,7,2,Likud,2,,4,4
243,0,Man,30,Jewish,Secular,0.871188986,Jerusalem,Single,Student,Israel,,,1,,Tertiary,3,Zehut,"",2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"",4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"",2,1,4,3,5,6,7,2,No,2,,3,3
244,0,Man,30,Jewish,TradRelig,1.369131627,South,Married,Full,Israel,,,2,LikeAvg,AcademicFirst,1,Zehut,"",2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,"",2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,"",1,2,5,3,4,6,7,2,Likud,2,,5,5
245,0,Man,41,Jewish,Secular,0.871188986,Sharon,Married,Full,Israel,,,4,WellAboveAvg,Tertiary,1,Zehut,"",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"",3,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,"",1,3,2,4,6,5,7,4,Likud,2,,5,5
246,0,Woman,21,Jewish,Secular,0.871188986,Haifa,Single,Partial,Israel,,,4,Decline,Matriculation,3,Likud,"",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,לא יודעת,2,1,3,4,6,7,5,3,Couldnt,1,2,,2
247,0,Man,40,Jewish,Religious,0.778403312,Jerusalem,Single,Decline,Israel,,,2,WellBelowAvg,Tertiary,2,Zehut,"",2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,"",2,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,"",3,1,2,6,5,4,7,4,Yachad,2,,3,3
248,0,Man,26,Jewish,UltraOrth,1.633642713,TelAviv,Married,Full,Israel,,,4,LikeAvg,AcademicFirst,1,Gimel,"",2,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,"",2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,"",1,2,4,6,5,3,7,2,Gimel,1,3,,3
249,0,Man,33,Jewish,Secular,0.871188986,TelAviv,Married,Full,Abroad,SovietUnion,1990,3,SlightAboveAvg,Matriculation,1,Zehut,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",4,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,"",1,2,4,5,6,3,7,4,Likud,2,,5,5
250,0,Man,51,Jewish,TradRelig,1.369131627,Jerusalem,Married,Full,Israel,,,11,SlightBelowAvg,Tertiary,3,Lavan,"",3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"",1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,"",4,1,2,3,6,5,7,4,Bait,2,,3,3
251,0,Man,44,Jewish,TradRelig,1.369131627,TelAviv,Married,Full,Israel,,,4,SlightBelowAvg,Tertiary,1,Likud,"",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"",2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"",1,2,,6,3,4,5,2,Likud,1,1,,1
252,0,Woman,43,Jewish,TradRelig,1.369131627,South,Married,Full,Israel,,,5,SlightAboveAvg,AcademicHigh,1,NYamin,"",2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,"",1,3,2,6,7,5,4,2,Bait,2,,5,5
253,0,Man,27,Jewish,Secular,0.871188986,TelAviv,Single,Independent,Israel,,,3,WellBelowAvg,AcademicFirst,1,Zehut,"",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,"",2,1,3,6,5,4,7,4,Bait,2,,5,5
254,0,Woman,51,Jewish,Traditional,1.062425593,South,Married,Full,Israel,,,3,SlightAboveAvg,HighSchool,1,Likud,"",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,"",1,3,2,6,5,4,7,3,Likud,1,4,,4
255,0,Man,43,Jewish,TradRelig,1.369131627,Haifa,Married,Full,Israel,,,3,Decline,Tertiary,1,Float,"",,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,"",1,6,5,2,3,4,7,4,Likud,2,,5,5
256,0,Woman,55,Jewish,Religious,0.778403312,Haifa,Married,Full,Israel,,,9,Decline,Tertiary,1,UYamin,"",2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"",2,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,"",2,5,3,4,6,1,7,5,Bait,1,3,,3
257,0,Man,21,Jewish,Secular,0.871188986,TelAviv,Single,Soldier,Israel,,,4,WellBelowAvg,Tertiary,1,Lavan,"",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,"",2,1,3,5,6,4,7,1,Couldnt,2,,4,4
258,0,Woman,23,Jewish,Secular,0.871188986,Haifa,CommonLaw,Unemployed,Israel,,,7,LikeAvg,Matriculation,1,Lavan,"",3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"",4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"",4,2,3,6,5,1,7,2,Avoda,2,,4,4
259,0,Woman,22,Jewish,UltraOrth,1.633642713,South,Married,Full,Israel,,,2,WellBelowAvg,Tertiary,1,Shas,"",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"",2,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,"",4,3,2,5,6,1,7,3,Gimel,1,5,,5
260,0,Woman,18,Jewish,Religious,0.778403312,Sharon,Single,Soldier,Israel,,,5,SlightAboveAvg,Matriculation,1,Float,"",,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"",1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"",1,7,6,5,2,4,3,3,Couldnt,2,,5,5
261,0,Woman,38,Jewish,TradRelig,1.369131627,South,Married,Full,Israel,,,4,SlightBelowAvg,Tertiary,1,Float,"",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,"",1,,2,,,3,,3,Likud,2,,5,5
262,0,Woman,57,Jewish,Secular,0.871188986,TelAviv,Married,Full,Israel,,,2,LikeAvg,AcademicHigh,1,Avoda,"",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,"",5,2,1,4,3,7,6,4,Avoda,2,,1,1
263,0,Man,39,Jewish,Secular,0.871188986,TelAviv,Married,Independent,Israel,,,4,WellAboveAvg,AcademicFirst,1,Lavan,"",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,העצמאים,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,העצמאים,5,1,2,3,4,6,7,4,Lapid,2,,4,4
264,0,Man,53,Jewish,Secular,0.871188986,TelAviv,Married,Independent,Israel,,,5,SlightAboveAvg,HighSchool,1,NYamin,"",2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"",2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,"",1,3,4,2,5,6,7,3,Lapid,2,,5,5
265,0,Man,34,Jewish,Secular,0.871188986,Haifa,Married,Full,Abroad,SovietUnion,1990,6,LikeAvg,Tertiary,2,Zehut,"",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"",2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,"",2,1,3,4,,,,3,Liberman,2,,5,5
266,0,Woman,20,Jewish,Traditional,1.062425593,South,Single,Student,Israel,,,5,SlightAboveAvg,Matriculation,1,Lavan,"",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,"",1,2,3,5,4,6,7,3,Couldnt,2,,4,4
267,0,Man,19,Jewish,Secular,0.871188986,Sharon,Single,Soldier,Israel,,,5,SlightBelowAvg,Matriculation,2,Lavan,"",2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"",2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,"",1,5,4,3,2,6,7,5,Couldnt,1,1,,1
268,0,Man,22,Jewish,Traditional,1.062425593,South,CommonLaw,Student,Abroad,SovietUnion,1998,2,WellBelowAvg,Matriculation,1,Float,"",,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,"",1,2,3,4,5,6,7,2,Likud,2,,5,5
269,0,Man,42,Jewish,Secular,0.871188986,TelAviv,Married,Full,Israel,,,5,WellAboveAvg,AcademicHigh,1,Likud,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,"",1,2,3,7,5,6,4,1,Likud,1,4,,4
270,0,Woman,20,Jewish,Religious,0.778403312,TelAviv,Married,Student,Israel,,,2,Decline,Tertiary,2,UYamin,"",3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,"",2,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,"",2,3,4,5,6,1,7,3,Couldnt,2,,5,5
271,0,Woman,32,Jewish,Secular,0.871188986,TelAviv,CommonLaw,Full,Abroad,SovietUnion,1995,2,WellAboveAvg,AcademicFirst,2,Lavan,"",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,"",2,1,4,3,6,5,7,3,No,2,,2,2
272,0,Man,60,Jewish,Secular,0.871188986,South,Married,Full,Israel,,,5,LikeAvg,Tertiary,1,Lavan,"",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,"",1,2,3,7,4,5,6,2,Kahlon,2,,2,2
273,0,Man,28,Jewish,Secular,0.871188986,Jerusalem,Married,Student,Israel,,,2,WellBelowAvg,Matriculation,1,Zehut,"",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"",3,2,1,4,6,5,7,4,Likud,1,4,,4
274,0,Woman,42,Jewish,Secular,0.871188986,Haifa,Divorced,Student,Israel,,,2,WellBelowAvg,AcademicFirst,1,Lavan,"",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,"",1,2,3,4,6,7,5,4,Lapid,1,3,,3
275,0,Woman,21,Jewish,Secular,0.871188986,Haifa,CommonLaw,Student,Israel,,,4,SlightAboveAvg,Matriculation,2,Float,"",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,מרצ,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"",1,4,5,6,3,2,7,3,Couldnt,1,2,,2
276,0,Woman,53,Jewish,Traditional,1.062425593,TelAviv,Married,Partial,Israel,,,5,Decline,HighSchool,1,Likud,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,"",1,2,3,6,4,5,7,4,Likud,1,4,,4
277,0,Woman,45,Jewish,Traditional,1.062425593,Sharon,Single,Partial,Israel,,,3,LikeAvg,AcademicHigh,1,Lavan,"",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,"",3,4,5,2,1,6,7,4,Meretz,1,1,,1
278,0,Man,50,Jewish,Secular,0.871188986,Haifa,Married,Full,Israel,,,5,SlightAboveAvg,AcademicHigh,1,Gesher,"",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"",2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,"",4,3,1,2,5,6,7,3,Avoda,1,1,,1
279,0,Man,22,Jewish,Secular,0.871188986,TelAviv,Single,Soldier,Israel,,,5,WellBelowAvg,Matriculation,3,Float,"",,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"",2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"",2,1,3,4,5,6,7,1,Kahlon,1,5,,5
280,0,Man,57,Jewish,Secular,0.871188986,TelAviv,Married,Full,Abroad,SovietUnion,1990,3,LikeAvg,AcademicHigh,2,Likud,"",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"",2,1,4,3,6,5,7,2,Liberman,1,4,,4
281,0,Man,67,Jewish,Secular,0.871188986,Haifa,Married,Retiree,Israel,,,2,SlightAboveAvg,Tertiary,1,Liberman,"",2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"",3,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"",4,3,6,2,1,5,7,3,Liberman,1,3,,3
282,0,Man,56,Jewish,Secular,0.871188986,TelAviv,Married,Full,Israel,,,3,LikeAvg,AcademicFirst,1,Liberman,"",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,"",3,1,2,4,,,,3,Lapid,1,2,,2
283,0,Man,31,Jewish,Traditional,1.062425593,TelAviv,Married,Full,Israel,,,3,LikeAvg,AcademicHigh,1,Lavan,"",2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"",2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,"",1,3,2,5,4,6,7,3,Avoda,1,1,,1
284,0,Woman,43,Jewish,Secular,0.871188986,South,Divorced,Full,Israel,,,4,WellBelowAvg,HighSchool,4,Float,"",,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,"",1,,,,,,,1,Lapid,1,1,,1
285,0,Woman,27,Jewish,Traditional,1.062425593,TelAviv,Single,Full,Israel,,,2,LikeAvg,AcademicFirst,1,Lavan,"",2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,"",3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"",6,2,3,1,4,5,7,3,Lapid,2,,4,4
286,0,Man,57,Jewish,Secular,0.871188986,Haifa,Married,Full,Israel,,,3,SlightAboveAvg,Matriculation,1,Lavan,"",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,"",1,3,4,2,5,6,7,4,Lapid,1,1,,1
287,0,Man,21,Jewish,Secular,0.871188986,South,Single,Unemployed,Israel,,,3,WellBelowAvg,Matriculation,1,Float,"",,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,סמיון ן,2,1,3,4,6,7,5,3,Couldnt,2,,5,5
288,0,Man,20,Jewish,Secular,0.871188986,South,Single,Soldier,Israel,,,4,WellAboveAvg,Matriculation,1,Zehut,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,צומי,1,2,3,4,5,6,7,4,Likud,2,,4,4
289,0,Woman,56,Jewish,Religious,0.778403312,Jerusalem,Divorced,Full,Abroad,Other,,1,,Tertiary,1,Float,"",,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,"",2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,"",1,4,3,5,6,2,7,4,Other,1,5,,5
290,0,Man,44,Jewish,Secular,0.871188986,South,Married,Full,Israel,,,4,SlightBelowAvg,Tertiary,1,Float,"",,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"",3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"",3,1,2,4,5,7,6,5,Lapid,2,,4,4
291,0,Man,34,Jewish,Secular,0.871188986,Haifa,Married,Full,Israel,,,4,SlightAboveAvg,AcademicFirst,1,Float,"",,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,"",1,2,3,5,4,,,5,Likud,1,4,,4
292,0,Woman,66,Jewish,Secular,0.871188986,Haifa,Married,Retiree,Israel,,,3,LikeAvg,Tertiary,1,Avoda,"",3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,"",3,1,2,4,5,7,6,5,Avoda,2,,1,1
293,0,Woman,22,Jewish,TradRelig,1.369131627,TelAviv,Single,Full,Israel,,,2,LikeAvg,Matriculation,1,NYamin,"",2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,"",3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,"",2,1,3,4,5,6,7,2,Couldnt,1,4,,4
294,0,Man,21,Jewish,Secular,0.871188986,Haifa,Single,Soldier,Israel,,,4,SlightAboveAvg,Tertiary,1,Lavan,"",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,"",2,1,3,4,5,6,7,4,Couldnt,1,1,,1
295,0,Man,43,Jewish,Secular,0.871188986,TelAviv,Single,Partial,Israel,,,1,,Tertiary,4,Lavan,"",3,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,"",3,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,"",2,3,1,4,,,,4,No,2,,1,1
296,0,Man,50,Jewish,Secular,0.871188986,TelAviv,Married,Full,Abroad,SovietUnion,2001,3,WellAboveAvg,AcademicHigh,2,Liberman,"",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,"",1,2,4,5,6,3,7,3,Liberman,2,,4,4
297,0,Man,33,Jewish,UltraOrth,1.633642713,Jerusalem,Married,Partial,Israel,,,9,WellBelowAvg,Decline,6,,"",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,"",7,5,4,3,2,1,6,1,No,2,,1,1
298,0,Man,60,Jewish,Traditional,1.062425593,TelAviv,Married,Retiree,Israel,,,4,SlightAboveAvg,HighSchool,2,Likud,"",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,"",1,2,3,6,7,4,5,1,Lapid,2,,4,4
299,0,Man,36,Jewish,Traditional,1.062425593,TelAviv,Married,Full,Israel,,,4,SlightAboveAvg,Tertiary,1,Likud,"",2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,"",1,3,2,5,6,4,7,4,Likud,1,1,,1
300,0,Woman,33,Jewish,Traditional,1.062425593,TelAviv,Married,Unemployed,Israel,,,5,WellBelowAvg,AcademicFirst,1,Zehut,"",1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,"",2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,"",4,1,2,6,5,3,7,2,Bait,2,,5,5
301,0,Man,21,Jewish,Secular,0.871188986,Haifa,Single,Full,Israel,,,3,SlightBelowAvg,Matriculation,1,Gesher,"",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"",2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"",3,2,1,6,5,4,7,2,Kahlon,2,,5,5
302,0,Woman,20,Jewish,Traditional,1.062425593,South,Single,Partial,Israel,,,3,WellBelowAvg,Matriculation,3,Likud,"",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,"",1,2,4,3,5,7,6,4,Couldnt,2,,5,5
303,0,Man,21,Jewish,Secular,0.871188986,Haifa,Single,Soldier,Israel,,,4,LikeAvg,Matriculation,2,Zehut,"",3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,"",2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,"",1,2,4,6,5,3,7,3,Couldnt,2,,5,5
304,0,Man,36,Jewish,Secular,0.871188986,TelAviv,Married,Full,Israel,,,5,SlightAboveAvg,AcademicFirst,1,Lavan,"",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,"",3,2,1,4,5,6,7,4,Lapid,1,3,,3
305,0,Woman,18,Jewish,Traditional,1.062425593,Jerusalem,Single,Soldier,Israel,,,4,WellAboveAvg,Matriculation,1,Lavan,"",2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,"",1,6,2,3,5,4,7,4,Couldnt,2,,2,2
306,0,Man,22,Jewish,Religious,0.778403312,TelAviv,Single,Soldier,Israel,,,5,Decline,Decline,2,Likud,"",1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"",2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,"",1,3,2,4,5,6,7,3,No,2,,5,5
307,0,Woman,23,Jewish,Secular,0.871188986,South,Single,Unemployed,Israel,,,3,SlightBelowAvg,HighSchool,1,Likud,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,"",2,1,3,7,6,5,4,5,Likud,2,,5,5
308,0,Man,25,Jewish,Secular,0.871188986,Haifa,Single,Full,Israel,,,3,SlightAboveAvg,Tertiary,1,Lavan,"",2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"",4,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,"",2,4,3,1,5,6,7,5,Avoda,1,1,,1
309,0,Woman,22,Jewish,Secular,0.871188986,South,CommonLaw,Student,Israel,,,2,SlightAboveAvg,AcademicFirst,1,Lavan,"",2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"",3,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,"",1,2,3,,4,,,4,Other,1,2,,2
310,0,Woman,32,Jewish,Traditional,1.062425593,Haifa,Divorced,Unemployed,Israel,,,4,WellBelowAvg,Tertiary,1,Likud,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,"",1,2,,3,,,,2,Likud,1,4,,4
311,0,Woman,34,Jewish,Secular,0.871188986,South,Married,Independent,Israel,,,3,SlightBelowAvg,Tertiary,1,Lavan,"",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,"",1,4,3,2,5,6,7,2,Likud,1,1,,1
312,0,Woman,39,Jewish,Secular,0.871188986,Haifa,Married,Full,Abroad,SovietUnion,1990,4,LikeAvg,AcademicHigh,1,Lavan,"",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,"",3,2,1,4,5,7,6,4,Avoda,1,2,,2
313,0,Man,45,Jewish,UltraOrth,1.633642713,Haifa,Married,Full,Israel,,,5,WellBelowAvg,Matriculation,1,Gimel,"",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"",2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,"",6,3,1,7,5,2,4,1,Gimel,2,,5,5
314,0,Man,20,Jewish,Traditional,1.062425593,South,Single,Soldier,Israel,,,5,SlightBelowAvg,Matriculation,2,Likud,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,"",1,2,3,4,7,5,6,5,Likud,1,5,,5
315,0,Woman,67,Jewish,Secular,0.871188986,Jerusalem,Married,Partial,Israel,,,2,WellAboveAvg,AcademicFirst,1,Shas,"",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"",1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,"",2,7,1,6,5,3,4,4,Shas,2,,1,1
316,0,Man,36,Jewish,Secular,0.871188986,TelAviv,Married,Full,Israel,,,3,WellAboveAvg,AcademicHigh,1,Float,"",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"",2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,"",2,3,1,5,6,4,7,4,Avoda,2,,1,1
317,0,Woman,22,Jewish,TradRelig,1.369131627,South,Single,Student,Israel,,,6,Decline,Tertiary,1,Likud,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,"",1,2,4,3,5,6,7,3,Couldnt,2,,5,5
318,0,Woman,20,Jewish,Traditional,1.062425593,Haifa,Single,Soldier,Israel,,,3,LikeAvg,Matriculation,1,Lavan,"",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"",1,5,2,3,4,6,7,4,Bait,2,,2,2
319,0,Man,24,Jewish,Secular,0.871188986,South,Single,Student,Israel,,,3,Decline,Tertiary,1,Float,"",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,"",3,1,4,5,6,2,7,3,No,2,,4,4
